x,y,z
-0.036686971306714874,-0.04400344293938626,-0.064618967986133258
-0.066748726781718296,0.045949505429768153,0.012598616966635327
-0.0015635520686022146,0.0019155974892536023,-0.0042702154573802135
-0.001528652811633839,-0.0008032830794494711,-0.0020741534505085571
-0.045276992048163794,-0.021844556762362723,0.010085133866304588
0.00076104082446267548,0.0031610812956244273,0.0051522387121481876
-0.00093218558277748803,0.00072265909793851316,3.0176428669878816e-05
0.013411421127197337,-0.023396508322971493,0.018738723155570753
0.0024217820630519716,0.0031538633553014873,-0.0014431567513774734
-8.8687347214638741e-05,-0.0034691686682909212,-0.0096155470112329923
0.00072403221599898996,0.00079661278495815754,-0.0012373394595723692
0.0032037380848511541,0.0015579633840638587,-0.00058944985594595216
-0.083202357283707271,0.043253588792599017,0.0045293457692681385
-0.0004646389227799955,-0.0010084121902810342,-0.0013469423410341027
-0.00066872240345554909,-0.00087357091707104286,-0.00025771712128614093
-0.0072908305276759454,-0.0028038828839320041,-0.00019539355897669973
-0.0030588105717804953,-0.0064796170369148644,-0.008532159469874288
-0.0017462052120191455,-0.0021450544849746459,9.1568109379910038e-05
-3.1069412743819256e-05,0.003923213016125025,-0.023682434921956756
-0.0099563965456561689,0.0024741451439706367,0.0070807662982600864
-0.00021285366311770155,-0.023105141796696003,-0.041643691405225211
0.0032745301206120701,0.0036321017927274961,-0.00083385296913657638
-0.000102880152739726,-0.0036694554402273922,0.00064930575989393063
0.0017293436943653885,0.0046845389021870744,0.0033888125533122274
0.0011963817834138722,-0.00028732233260250441,0.0014885213824511448
-0.0010091356466763379,0.00027015719273679596,-0.00042853537170041455
0.0011759364832179275,0.00054447324061786045,0.0008870781296408159
-0.0070991383816132415,-0.012667899803617811,-0.0035524362474969773
-0.029160109942221589,-0.056747758365582324,0.048851514287137104
0.0013998890029267895,0.046732414315637752,0.063796204083789262
0.016685938885534362,-0.023414880070365216,0.0061941548375501363
0.0010170452755110836,-0.024176630379417911,0.0026602156514172752
